sentence1,sentence2,label
"Работать с указателями и памятью","Управление динамической памятью и избежание утечек через malloc/free",0.8
"Документировать разработку","Создание технической документации для разработчиков и пользователей",0.4
"Использовать Scrum-инструменты","Применение Jira, Trello или других систем для отслеживания задач",0.4
"Масштабировать приложения","Настройка автоматического масштабирования под нагрузку",0.5
"Оптимизировать гиперпараметры","Настройка параметров через Grid Search, Random Search или Bayesian Optimization",0.2
"Оптимизировать токенизацию для больших данных","Использование эффективных алгоритмов для обработки больших текстовых массивов",0.3
"Оценивать соответствие требованиям качества","Участие в обсуждении и корректировке требований качества с командой разработки",0.5
"Устанавливать серверное ПО","Установка и настройка облачных серверов (AWS EC2, Azure Virtual Machines)",0.7
"Использовать базы данных","Выполнение запросов к SQL-базам данных (PostgreSQL, MySQL) или NoSQL (MongoDB)",0.6
"Обрабатывать изображения и видео","Применение фильтров, преобразований и улучшение качества данных",0.8
"Оптимизировать производительность","Улучшение скорости работы скриптов и снижение нагрузки на браузер",0.5
"Тестировать свой код","Проверка работы программы на различных входных данных",0.9
"Писать чистый и поддерживаемый код","Соблюдение принципов clean code и использование паттернов проектирования",0.8
"Интегрировать базы данных","Работа с SQL (PostgreSQL, MySQL) и NoSQL (MongoDB, Redis) для хранения данных",0.6
"Осуществлять сбор и анализ данных для ТЗ","Проведение комплексного анализа данных для формирования детализированных технических заданий",1.0
"Вовлекать команду в управление рисками","Распределение ответственности за мониторинг и контроль рисков",0.3
"Специалист по машинному обучению","Знакомство с основами машинного обучения и библиотеками Python (Scikit-learn)",0.1
"Осуществлять коммуникацию на государственном языке","Создание профессиональных текстов (отчеты, документация, статьи) на государственном языке",0.8
"Ставить задачи команде разработчиков","Обеспечение понимания задач каждым участником команды через документацию и обсуждения",0.6
"Создавать схемы архитектуры","Координация с командой разработки для уточнения деталей архитектурных решений",0.5
"Общаться с заинтересованными сторонами","Передача результатов анализа в доступной форме для бизнеса",0.1
"Использовать фреймворки для тестирования","Работа с Selenium, Cypress, TestNG или другими инструментами",0.5
"Соблюдать принципы дизайна","Использование цветов, шрифтов и пространства для улучшения читаемости",0.2
"Теория вероятностей","Создание презентаций для руководства",0.1
"Основы программирования на C++","Разработка сложных программ и приложений с использованием объектно-ориентированного программирования на C++",1.0
"Проектировать архитектуру ПО","Создание масштабируемых и поддерживаемых систем",0.7
"Собирать требования заказчика","Проведение интервью и анкетирования для формализации потребностей клиентов",0.5
"Осуществлять автоматическое тестирование","Использование фреймворков (Selenium, Cypress, TestNG) для создания автотестов",0.9
"Проектировать базы данных","Создание структуры таблиц, связей и нормализация данных",0.9
"Создавать тестовые данные","Подготовка данных для выполнения автоматизированных тестов",0.3
"Математический анализ","Знакомство с основами дифференциального и интегрального исчисления",0.1
"Использовать фреймворки и библиотеки","Разработка с помощью React, Angular или Vue.js",1.0
"Работать с алгоритмами и структурами данных","Выбор оптимальных алгоритмов и структур для задачи",0.7
"Цифровая обработка сигналов","Навыки холодных звонков",0.0
"Проводить ручное тестирование","Выполнение простых тестов для проверки основных функций программы",0.3
"Писать backend-логику","Создание API и обработка бизнес-логики на стороне сервера",0.8
"Применение JavaScript","Отсутствие опыта или знаний в области применения JavaScript",0.0
"Оптимизировать бизнес-процессы","Автоматизация документооборота, отчетности и других рабочих процессов",0.4
"Тестировать кросс-платформенность","Проверка работы интерфейса на разных устройствах и браузерах",0.4
"Работать с возражениями","Профессиональное преодоление сомнений клиента",0.3
"Использовать нотации моделирования","Применение UML, BPMN или IDEF для визуализации требований",0.7
"Разрабатывать веб-приложения","Тестирование и отладка веб-приложений на этапе разработки",0.3
"Обеспечивать кросс-браузерную совместимость","Тестирование и исправление ошибок отображения в разных браузерах",0.8
"Осуществлять автоматическое тестирование","Оптимизация существующих автотестов для повышения их эффективности и скорости выполнения",0.5
"Применение JavaScript","Создание динамических пользовательских интерфейсов с анимациями и эффектами",0.4
"Изучать новые фреймворки","Использование онлайн-курсов, туториалов и документации для быстрого старта с фреймворком",0.5
"Настраивать микросервисы","Выполнение простых операций по развертыванию и тестированию микросервисов",0.3
"Изучать новые фреймворки","Адаптация существующих проектов к новым фреймворкам с минимальными изменениями кода",0.8
"Анализировать результаты модели","Оценка точности, полноты и других метрик для задач компьютерного зрения",0.5
"Применять алгоритмы классификации","Использование методов, таких как Logistic Regression, Decision Trees, SVM",0.9
"Анализировать аудиторию","Выбор подходящих типов визуализации для целевой аудитории",0.5
"Опытный Java-разработчик","Работа с системами контроля версий (Git) и участие в командной разработке",0.4
"Грамотная письменная и устная речь","Базовое понимание правил грамматики и культуры речи",0.2
"Основы программирования на C++","Управление проектами в Jira",0.1
"Высшее техническое образование","Посещение курсов повышения квалификации или дополнительного образования в технической сфере",0.4
"Использовать инструменты DevOps","Настройка CI/CD-пайплайнов для автоматизации сборки и деплоя",0.8
"Электротехника и электроника","Разработка стратегии продвижения",0.0
"Обучать сотрудников кибербезопасности","Проведение тренингов по распознаванию фишинга и других угроз",0.3
"Осуществлять программирование и тестирование","Отладка и исправление ошибок в процессе разработки и тестирования",0.6
"Проводить тестирование интерфейсов","Отсутствие опыта или знаний в области тестирования интерфейсов",0.0
"Обеспечивать измеримость требований","Добавление критериев приемки для проверки выполнения",0.6
"Находить компромиссы","Поиск решений, устраивающих обе стороны в спорных ситуациях",0.8
"Оценивать эффективность идей","Анализ результатов внедрения творческих решений",0.1
"Автоматизировать процессы разработки","Настройка CI/CD-пайплайнов для автоматизации сборки и деплоя",0.3
"Применение численных методов","Использование специализированных библиотек (NumPy, SciPy) для численных вычислений",0.5
"Использовать языки программирования","Владение языками, такими как Python, Java, C++, JavaScript и их фреймворками",0.7
"Управлять кризисными ситуациями","Быстрое реагирование и принятие решений при реализации рисков",0.5
"Завершать жизненный цикл ПО","Анализ результатов проекта и подготовка к выводу системы из эксплуатации",0.1
"Анализировать требования","Оценка полноты, согласованности и реализуемости требований",0.7
"Использовать системы контроля версий","Эффективная работа с Git для управления изменениями в коде",1.0
