sentence,label
"Представляем Вашему вниманию нашу компанию",1
"Наша компания уже более лет являемся крупнейшими поставщиками",1
"Мы являемся партнером и дистрибьютором всемирно известного концерна",1
"Работать удалённо с гибким графиком",1
"Получать конкурентоспособную зарплату;",1
"Работать в коллективе с демократичным подходом",1
"Дружелюбный коллектив",1
"Эскизирование идей/концепций дизайна.",0
"Макеты для презентаций;",0
"Задачи, с которыми нужно работать",0
"Опыт работы в",0
"Желательно наличие высшего образования",0
"уверенное владение основными программами:",0
"Умение работать с техническими требованиями.",0
"СТAБИЛЬНAЯ РOCСИЙCКAЯ СETЬ CAЛOHОВ С CОБCТВEННЫM ПPOИЗBOДCTВОM ",1
"Белая заработная плата (оклад + высокий и растущий % от продаж + бонусы)",1
"Еженедельные выплаты заработной платы на карту",1
"Официальное трудоустройство по ТК РФ",1
"больничные и отпуск",1
"Скидки на компании для всех сотрудников",1
"Дополнительные бонусы",1
"Скидки от партнеров",1
"Консультировать покупателей по ассортименту",0
"Готовность к активной работе с покупателями",0
"Удаленный график работы",1
"Уверенный пользователь",0
"Навыки в работе с",0
"разрабатывать, создавать, верстать, программировать",0
"Компания— поставщик решений",1
"знание основ",0
"самостоятельность, ответственость",0
"Работа в офисе в пешей доступности от",1
"График работы",1
"Уровень зп",1
"Высшее профессиональное образование",0
"Среднее профессиональное (техническое) образование",0
"трудовой кодекс РФ",1
"Гарантированное соблюдение трудового кодекса РФ",1
"ДМС",1
"Мы уже занаемся",1
"Удобный график работы 5/2",1
"Достойную без задержек заработную плату;",1
"Молодой дружный коллектив;",1
"Бесплатная парковка;",1
"корпоративы",1
"Официальное оформление: оплачиваемые отпуска и больничные.",1
"уютное рабочее место и оплачиваемый абонемент в спортзал.",1
"Приятную атмосферу: дружный коллектив, который поддержит и поможет освоиться.",1
"График 5/2: суббота — сокращённый день, воскресенье и понедельник — выходные",1
"Новый салон премиум-класса от производителя",1
"крупнейший российский производитель",1
"признан лучшим отечественным брендом",1
"Бренд года в",1
"Грамотный письменный русский язык",0
"Широкий кругозор, креативность, инициативность, нешаблонное мышление",0
"Внимательность к деталям, аккуратность, тренированная насмотренность",0
"Быстрая обучаемость",0
"Продвинутый пользователь ПК",0
"Умение работать с большим объемом информаци",0
"Высокая работоспособность",0
"Умение работать в команде",0
"Наличие портфолио",0
