sentence1,sentence2,label
"Использовать NoSQL базы данных","Работа с MongoDB, Redis, Cassandra для неструктурированных данных",0.7
"Знание основ электротехники и электроники","Умение читать электрические схемы",0.9
"Изучение принципов работы компьютерных сетей","Опыт администрирования Cisco-сетей",0.6
"Математическое моделирование процессов","Навыки анализа данных в MATLAB",0.6
"Основы программирования на C++","Опыт разработки embedded-систем",0.5
"Теория автоматического управления","Знание SCADA-систем",0.6
"Инженерная графика и черчение","Умение работать в AutoCAD",0.8
"Цифровая обработка сигналов","Опыт работы с DSP-процессорами",0.7
"Физика полупроводников","Понимание принципов работы транзисторов",0.9
"Базы данных и SQL","Опыт работы с PostgreSQL",0.7
"Теоретическая механика","Создание контента для социальных сетей",0.0
"Математический анализ","Управление командой продаж",0.0
"Физика полупроводников","Опыт работы с CRM-системами",0.1
"Электротехника и электроника","Разработка стратегии продвижения",0.1
"Теория автоматического управления","Навыки копирайтинга",0.1
"Численные методы","Знание основ маркетинга",0.1
"Материаловедение","Умение работать с таблицами Excel",0.1
"Цифровая обработка сигналов","Навыки холодных звонков",0.1
"Теплотехника","Знание основ психологии общения",0.1
"Гидравлика","Участие в переговорах с клиентами",0.1
"Сопротивление материалов","Написание новостных статей",0.1
"Основы программирования на C++","Управление проектами в Jira",0.2
"Квантовая механика","Работа с базами данных клиентов",0.1
"Теория вероятностей","Создание презентаций для руководства",0.1
"Электромагнетизм","Опыт работы с графическими редакторами",0.1
"Строительная механика","Навыки ведения деловой переписки",0.1
"Аэродинамика","Организация корпоративных тренингов",0.1
"Термодинамика","Знание основ бухгалтерского учета",0.1
"Дифференциальные уравнения","Умение работать с документооборотом",0.1
"Программирование на Python","Опыт работы с SQL-запросами",0.3
"Теория вероятностей","Анализ данных в Excel",0.2
"Электротехника и электроника","Знание основ автоматизации процессов",0.4
"Цифровая обработка сигналов","Опыт работы с аудио- или видеоданными",0.7
"Инженерная графика","Работа с 3D-моделированием в Blender",0.6
"Основы программирования на C++","Навыки разработки на Java",0.4
"Математическое моделирование","Умение работать с бизнес-аналитикой",0.4
"Теплотехника","Проектирование систем кондиционирования",0.6
"Сопротивление материалов","Опыт расчета нагрузок в строительстве",0.7
"Теория автоматического управления","Знание принципов IoT",0.5
"Физика полупроводников","Понимание принципов работы FPGA",0.6
"Численные методы","Оптимизация алгоритмов в MATLAB",0.6
"Гидравлика","Проектирование трубопроводных систем",0.7
"Материаловедение","Опыт работы с композитными материалами",0.7
"Теория информации","Разработка протоколов передачи данных",0.6
"Строительная механика","Опыт работы с САПР для строительства",0.7
"Дифференциальные уравнения","Моделирование динамических систем",0.7
"Квантовая механика","Опыт работы с квантовыми вычислениями",0.6
"Электромагнетизм","Понимание принципов работы радиочастотных систем",0.7
"Аэродинамика","Оптимизация конструкций летательных аппаратов",0.7
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.4
"Требуется инженер-программист со знанием Python.","Ищем разработчика с опытом работы в Python.",0.8
"Необходим специалист по машинному обучению.","Требуется эксперт в области анализа данных.",0.5
"Вакансия: преподаватель информатики.","Ищем учителя программирования для школы.",0.6
"Требуется опытный Java-разработчик.","Ищем junior-программиста на Java.",0.4
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Программа обучения включает изучение алгоритмов.","Курс рассчитан на студентов, интересующихся искусственным интеллектом.",0.5
"Кандидат должен иметь высшее техническое образование.","Принимаем на работу студентам последних курсов.",0.4
"Обязательно знание SQL.","Опыт работы с базами данных приветствуется.",0.7
"Требуется разработчик мобильных приложений.","Ищем дизайнера пользовательских интерфейсов.",0.2
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.4
