sentence1,sentence2,label
"Минимизировать отвлекающие факторы","Устранение внешних помех для фокусировки",0.6
"Автоматизировать документооборот","Подготовка инструкций и обучение сотрудников работе в системе документооборота",0.2
"Мониторить угрозы","Отслежнивание подозрительной активности",0.7
"Тестировать ПО","Разработка тест-кейсов и сценариев для проверки",0.8
"Проводить тестирование интерфейсов","Проверка адаптивности интерфейсов под различные устройства и разрешения экранов",0.6
"Оптимизировать производительность","Анализ и улучшение скорости работы программ на низком уровне",1.0
"Создавать прототипы","Разработка кликабельных прототипов в Figma, Adobe XD для тестирования концепций",0.7
"Использовать инструменты нагрузочного тестирования","Работа с JMeter, LoadRunner, Gatling, аналогами",0.7
"Трансформировать логическую модель в физическую","Преобразование IDEF1X-диаграмм в SQL-скрипты для реализации",0.6
"Использовать диаграммы состояний","Моделирование жизненного цикла объектов в системе",0.8
"Мониторить выполнение проекта","Отслеживание рисков на всех этапах разработки анализ, тестирование, внедрение",0.7
"Разрабатывать программное обеспечение","Написание кода в соответствии с утвержденным дизайном",0.7
"Писать объектно-ориентированный код","Создание классов, интерфейсов и реализация принципов ООП",0.8
"Управлять сетевой инфраструктурой","Конфигурирование маршрутизаторов, коммутаторов и брандмауэров",0.9
"Мониторить облачные ресурсы","Использование инструментов мониторинга облака",0.7
"Публиковать приложения в магазины","Отправка приложений в App Store и Google Play",0.9
"Оптимизировать процессы разработки","Внедрение Agile, Scrum, Kanban для повышения эффективности",0.6
"Проверять полноту требований","Убедиться, что все аспекты проекта покрыты требованиями",0.9
"Анализировать рынок IT-услуг","Использование инструментов анализа данных для исследования рынка",0.7
"Анимировать 3D-объекты","Создание 2D-анимации",0.3
"Разрабатывать алгоритмы","Создание оптимальных решений для обработки данных и выполнения задач",0.8
"Разрабатывать политики безопасности","Создание правил и процедур для обеспечения защиты данных",0.6
"Создавать базы данных","Проектирование реляционных и нереляционных баз данных",1.0
"Разрабатывать технические решения","Проектирование систем автоматизации на основе требований заказчика",0.7
"Интерпретировать данные через визуализацию","Объяснение данных через понятные визуальные элементы",0.8
"Оптимизировать рабочие процессы","Внедрение изменений для повышения эффективности и снижения затрат",0.2
"Использовать сканирование объектов","Перевод реальных объектов в цифровые модели через 3D-сканирование",0.9
"Оптимизировать пользовательский опыт","Анализ поведения пользователей и предложение улучшений интерфейса",0.3
"Анализировать результаты тестов","Оценка метрик время отклика, пропускная способность, отказы",0.8
"Формулирует взаимосвязанные задачи для достижения цели","Ставить задачи команде разработчиков",0.6
"Очищать и предобрабатывать данные","Удаление дубликатов, обработка пропусков и нормализация данных",0.9
"Тестировать функционал ПО","Проверка работы системы на соответствие требованиям",0.8
"Вести переговоры с клиентами","Подготовка коммерческих предложений и заключение договоров",0.3
"Писать качественный код","Соблюдение принципов clean code и использование паттернов проектирования",0.9
"Использовать информационные технологии","Использование IT-инструментов для повседневной работы",0.8
"Анализировать требования для тестирования","Изучение технического задания для выявления ключевых сценариев проверки",0.8
"Применяет методы финансового планирования","Оценивать бюджет разработки",0.8
"Работать с политиками конфиденциальности","Создание и внедрение правил для защиты персональных данных",0.6
"Оптимизировать токенизацию для больших данных","Использование эффективных алгоритмов для обработки текстовых массивов",0.3
"Анализировать требования","Сбор и формализация требований заказчика для разработки ПО",0.7
"Работать с библиотеками и фреймворками","Использование готовых инструментов для ускорения разработки",1.0
"Взаимодействовать с заказчиками проектов","Сбор и анализ требований заказчиков для формирования технического задания",0.7
"Тестировать ПО","Выполнение функционального, регрессионного и нагрузочного тестирования",1.0
"Автоматизировать бизнес-процессы","Внедрение цифровых решений для оптимизации рутинных операций",0.6
"Обеспечивать визуальную согласованность","Использование гайдлайнов и стилевых правил для единообразия",0.7
"Развертывать приложения в облаке","Использование AWS, Google Cloud, Azure для хостинга и масштабирования",0.9
"Масштабировать приложения","Настройка автоматического масштабирования под нагрузку",0.3
"Мониторить риски","Отслеживание выявленных рисков и их динамики",0.7
"Разрабатывать веб-приложения","Создание веб-приложений с использованием современных фреймворков React, Angular, Vue.js",1.0
"Проектировать интерьеры помещений","Создание 3D-визуализаций и согласование дизайна с заказчиком",0.6
"Фиксировать требования на старте","Сбор и документирование всех требований перед началом разработки",0.7
"Управлять данными в микросервисах","Реализация подходов к работе с базами данных Database per Service, Event Sourcing",0.8
"Автоматизировать документооборот","Разработка и внедрение систем автоматизации документооборота",0.7
"Обеспечивать согласованность UML-диаграмм","Синхронизация различных типов диаграмм для целостности проекта",0.9
"Составлять четкие тест-кейсы","Описание шагов, ожидаемых результатов и критериев успеха",0.9
"Выполнять настройку параметров печати","Калибровать цвета для вывода",0.9
"Общаться в письменной форме","Написание четких и грамотных писем, отчетов, сообщений",0.8
"Работать с нормативными требованиями","Соблюдение стандартов GDPR, ISO, ГОСТ и других регламентов",0.5
"Проводить аудит безопасности данных","Анализ уязвимостей и проверка соответствия стандартам",0.6
"Проектировать базы данных","Создание структуры таблиц, связей и нормализация данных",0.9
"Настройка облачных сервисов","Развертывание приложений на AWS, Google Cloud, Azure",0.9
"Обрабатывать данные для обучения","Предобработка изображений, текстов, временных рядов",0.7
"Использовать NoSQL базы данных","Работа с MongoDB, Redis, Cassandra для неструктурированных данных",0.8
"Анализировать данные АСУ","Использование аналитических инструментов для мониторинга и улучшения процессов",0.4
"Разрабатывать информационные системы","Проектирование и внедрение систем для автоматизации бизнес-процессов",0.8
"Разрабатывать гипотезы","Построение предположений и проверка их на основе данных",1.0
"Внедрять CRM-системы","Настройка системы под потребности отдела продаж и маркетинга",0.5
"Оптимизировать производительность","Уменьшение времени отклика и минимизация нагрузки на сервер",0.7
"Проводить тестирование интерфейсов","Тестирование интерфейсов на соответствие дизайн-макетам и требованиям заказчика",0.8
"Планировать и реализовывать профессиональное развитие","Изучать новые дизайн-тренды",0.5
"Квантовая механика","Опыт работы с квантовыми вычислениями",0.9
"Управлять бюджетом проекта","Планирование и контроль расходов в рамках выделенных средств",1.0
"Формулировать требования к поддержке","Описание условий обслуживания, обновлений и документации",0.5
"Работать с памятью","Управление динамической памятью и избежание утечек через new/delete",0.8
