sentence1,sentence2,label
"Обеспечивать отказоустойчивость","Обработка ошибок и повторные попытки выполнения задач",0.5
"Применять медикаментозные средства","Оптимизировать базы данных",0.0
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Документировать процессы","Создание технической документации для разработчиков и пользователей",0.5
"Разрабатывать парсеры данных с библиотекой BeautifulSoup","Разрабатывать парсеры данных с библиотекой BeautifulSoup",1.0
"Вакансия: преподаватель информатики.","Ищем учителя программирования для школы.",0.6
"Создавать простые боты на Python","Моделировать процессы с помощью блок-схем",0.3
"Настраивать системы логирования с ELK Stack","Писать пользовательские руководства для ПО",0.3
"Разрабатывать системы аутентификации с Keycloak","Настраивать авторизацию через Keycloak",0.8
"Консультировать по уходу и самоуходу","Консультировать по использованию ПО",0.5
"Разрабатывать мобильные приложения для Android","Тестировать веб-интерфейсы на usability",0.2
"Работать с API","Создание RESTful API, интеграция с внешними сервисами",0.6
"Математический анализ","Управление командой продаж",0.0
"Требуется инженер-программист со знанием Python.","Ищем разработчика с опытом работы в Python.",0.8
"Коммуницировать с заинтересованными сторонами","Регулярное информирование клиентов и руководства о прогрессе",0.6
"Тестировать отображение страниц в браузерах","Создавать простые макеты в Figma",0.3
"Сопротивление материалов","Написание новостных статей",0.1
"Использовать NoSQL базы данных","Работа с MongoDB, Redis, Cassandra для неструктурированных данных",0.7
"Настраивать автоматизацию процессов деплоя с использованием инструмента GitHub Actions для командной разработки","Конфигурировать процессы непрерывной интеграции и доставки через GitHub Actions для проектов",0.9
"Автоматизировать тестирование программного обеспечения.","Установить серверное оборудование в дата-центре.",0.0
"Писать юнит-тесты для кода","Устанавливать системы видеонаблюдения",0.1
"Управлять сетевой инфраструктурой","Конфигурирование маршрутизаторов, коммутаторов и брандмауэров",0.7
"Документировать разработку","Создание технической документации для разработчиков и пользователей",0.7
"Использовать инструменты для IDEF1X","Работа с ERwin, CA ERwin Data Modeler",0.6
"Организовать ежедневные стендапы команды.","Обновить документацию по требованиям.",0.1
"Анализировать производительность сети с Wireshark","Создавать визуальные эффекты для веб-страниц",0.2
"Квантовая механика","Опыт работы с квантовыми вычислениями",0.6
"Настраивать контейнеризацию приложений через Docker","Интегрировать системы с использованием SOAP API",0.3
"Разрабатывать отказоустойчивые системы с паттернами резервирования","Разрабатывать отказоустойчивые системы с паттернами резервирования",1.0
"Провести детальный аудит уязвимостей в серверной инфраструктуре.","Поставить правильный диагноз с использованием рентгеновских снимков.",0.0
"Проектировать интерьеры помещений","Создание 3D-визуализаций и согласование дизайна с заказчиком",0.6
"Настраивать обработку потоков данных с asyncio","Настраивать обработку потоков данных с asyncio",1.0
"Администрировать PostgreSQL","Настройка пользователей, ролей и прав доступа к базе данных",0.7
"Внедрить систему мониторинга логов.","Провести тренинг по кибергигиене для сотрудников.",0.0
"Контролировать KPI процессов","Мониторинг ключевых показателей для оценки эффективности",0.9
"Анализировать результаты кластеризации","Интерпретация групп данных и их значимости для бизнеса",0.7
"Тестировать функционал ПО","Проверка работы системы на соответствие требованиям",0.7
"Поддерживает физическую подготовленность","Оптимизировать рабочий график",0.1
"Настраивать и кастомизировать ПО","Адаптация системы под специфику бизнес-процессов",0.9
"Основы программирования на C++","Опыт разработки embedded-систем",0.5
"Теория вероятностей","Создание презентаций для руководства",0.1
"Общаться с командой разработки","Передача информации от заказчика к разработчикам",0.5
"Теплотехника","Знание основ психологии общения",0.1
"Описывать нефункциональные требования","Учет производительности, безопасности, масштабируемости и удобства",1.0
"Разрабатывать гипотезы","Построение предположений и проверка их на основе данных",0.9
"Настроить фильтры в таблице Excel.","Составить сводную таблицу для анализа.",0.2
"Разработать интерактивный интерфейс для управления умным домом.","Провести качественную экспертизу строительных материалов на прочность.",0.0
"Интегрировать библиотеку для графиков.","Добавить визуализацию данных в интерфейс.",0.4
"Изучение принципов работы компьютерных сетей","Опыт администрирования Cisco-сетей",0.6
"Интегрировать CRM-систему с сайтом компании.","Провести аудит устаревшего кода на Python.",0.0
"Использовать информационные технологии","Применять Figma для прототипов",0.5
"Писать юнит-тесты для компонентов с Jest","Писать юнит-тесты для компонентов с Jest",1.0
"Осуществлять коммуникацию на государственном языке","Вести переговоры с клиентами",0.6
"Мониторить состояние сети с помощью SolarWinds для обеспечения бесперебойной работы инфраструктуры","Отслеживать производительность и доступность сети с применением SolarWinds",0.9
"Создать таблицу с данными в Excel.","Настроить автоматический расчет в ячейках.",0.3
"Тестировать производительность фронтенда с Lighthouse","Тестировать производительность фронтенда с Lighthouse",1.0
"Оказывать юридическую консультацию","Разработка договоров и правовых документов для бизнеса",0.5
"Оптимизировать процессы в 1С:ERP","Улучшение производительности и автоматизация задач",0.7
"Создавать интерактивные отчеты в Looker Studio","Разрабатывать backend-логику с использованием Django",0.3
"Инженерная графика","Проектирование деталей и узлов для машиностроения и строительства",0.6
"Требуется опытный Java-разработчик.","Ищем junior-программиста на Java.",0.4
"Использовать кластеризацию в машинном обучении","Подготовка данных для последующего анализа, обучения моделей",0.3
"Настроить высокопроизводительный кластер для обработки потоков данных.","Составить грамотный план раскопок археологического объекта с картой.",0.0
"Анализировать производительность с JProfiler","Оценивать эффективность кода с JProfiler",0.8
"Анализировать данные с помощью Google Sheets","Создавать анимации с использованием CSS",0.3
"Оптимизировать производительность","Уменьшение времени отклика и минимизация нагрузки на сервер",0.7
"Электротехника и электроника","Разработка стратегии продвижения",0.1
"Тестировать информационные системы","Проверка работоспособности и выявление ошибок перед запуском",0.9
"Опытный Java-разработчик","Оптимизация производительности Java-приложений и работа с многопоточностью",0.6
"Определяет свою роль в команде","Координировать работу тестировщиков",0.4
"Внедрять CRM-системы","Настройка системы под потребности отдела продаж и маркетинга",0.6
"Анализировать уязвимости с помощью Burp Suite","Разрабатывать стратегии резервного копирования",0.3
"Проектировать системы управления трафиком с использованием Istio для микросервисной архитектуры","Настраивать сервисную сетку для управления трафиком через Istio в проектах",0.9
"Численные методы","Оптимизация алгоритмов в MATLAB",0.6
"Определять выбор технических средств для макета","Выбирать софт для рендеринга",0.7
"Электромагнетизм","Опыт работы с графическими редакторами",0.1
"Разрабатывать требования к удобству использования","Описание UX/UI-критериев для удобства пользователей",1.0
"Тестировать ERP-системы","Проверка работоспособности и выявление ошибок перед запуском",0.6
"Разрабатывать диаграммы развертывания","Описание физической архитектуры системы серверы, устройства",0.5
"Учитывает мультикультурность при взаимодействии","Адаптировать ПО для разных регионов",0.4
"Разрабатывать эффективные алгоритмы","Создание решений для задач сортировки, поиска, оптимизации",0.6
"Оптимизировать высоконагруженную производительность базы данных MySQL.","Спроектировать детальный чертеж небоскреба с расчетами.",0.0
"Инженерная графика","Работа с 3D-моделированием в Blender",0.5
"Создать скрипт для мониторинга ресурсов.","Настроить логирование системных событий.",0.3
"Заниматься самообразованием","Изучать новые технологии",0.2
"Тестировать UX-решения","Проведение тестирования и анализ результатов для улучшения интерфейсов",0.7
"Создавать доступные интерфейсы согласно стандартам WCAG","Создавать доступные интерфейсы согласно стандартам WCAG",1.0
"Интегрировать системы с CRM","Проводить тестирование квантовых компьютеров",0.1
"Создавать архитектурные диаграммы с использованием UML","Создавать архитектурные диаграммы с использованием UML",1.0
"Оптимизировать производительность приложений","Поиск узких мест и улучшение скорости работы программы",0.7
"Проектировать архитектуру системы","Разработка структуры и интеграции модулей информационной системы",0.8
"Проводит критический анализ различных источников информации","Проверять качество технической документации",0.5
"Объяснять результаты неспециалистам","Перевод технических выводов в понятные бизнес-рекомендации",0.6
"Тестировать функциональность программного обеспечения","Создавать 3D-модели для игр",0.2
"Тестировать производительность API с LoadRunner","Тестировать производительность API с LoadRunner",1.0
"Осуществлять коммуникацию на русском","Вести переписку с клиентами",0.7
"Участвовать в совместном принятии решений","Вклад в обсуждение и поиск оптимальных решений",0.7
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Знание основ электротехники и электроники","Умение читать электрические схемы",0.9
"Вести медицинскую документацию","Готовить техническую документацию",0.4
"Интегрировать REST API в React-приложения","Интегрировать REST API в React-приложения",1.0
"Анализировать большие объемы данных с помощью Snowflake для поддержки принятия решений","Обрабатывать данные в облачной платформе Snowflake для аналитики и отчетности",0.9
"Способен участвовать в разработке стандартов","Писать гайдлайны для кода",0.6
"Работать с дизайн-системами","Создание и поддержка библиотек компонентов для согласованности дизайна",0.9
"Организовывать рабочее место","Настраивать CI/CD процессы",0.0
"Создавать BPMN-диаграммы","Моделирование бизнес-процессов в нотации BPMN",1.0
"Проектировать отказоустойчивые системы с использованием Kafka","Оптимизировать работу NoSQL баз данных",0.2
"Анализировать производительность кода с JProfiler для оптимизации ресурсов приложений","Оценивать эффективность работы программного кода с помощью JProfiler",0.9
"Принимать решения в нестандартных ситуациях","Устранять сбои в IT-системах",0.7
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Основы программирования на C++","Навыки разработки на Java",0.6
"Резервировать данные","Создание регулярных backup'ов",0.9
"Анализировать профилирование кода","Использование инструментов например, Profiler для выявления проблем",0.8
"Настроить права доступа в Active Directory.","Создать учетные записи для новых пользователей.",0.4
"Управлять своим временем","Соблюдать дедлайны проектов",0.7
"Учитывает ролевые позиции участников","Согласовывать задачи с аналитиками",0.6
"Способен разрабатывать алгоритмы и программы","Писать код для backend-систем",0.6
"Строительная механика","Опыт работы с САПР для строительства",0.7
"Создавать таблицы в Excel для отчетов","Разрабатывать простые функции на JavaScript",0.3
"Проектировать архитектуру внедрения","Создание плана внедрения ERP с учетом требований заказчика",0.4
"Использовать информационные технологии","Использование IT-инструментов для повседневной работы",0.6
"Оптимизировать загрузку страниц с Lighthouse","Оптимизировать загрузку страниц с Lighthouse",1.0
"Использует естественнонаучные знания","Моделировать данные в Python",0.2
"Создавать анимации и эффекты","Использование CSS и JavaScript для добавления анимаций на страницу",0.5
"Ориентироваться в смене технологий","Поддерживать legacy-системы",0.2
"Способен планировать проектные цели","Определять этапы разработки",0.7
"Разработать масштабируемую систему управления контентом на Python.","Провести сложную трансплантацию почки с высокой точностью.",0.0
"Писать код для обработки потоков данных в реальном времени с использованием Kafka","Реализовать стриминг данных в реальном времени с помощью платформы Kafka",0.9
"Настраивать CI/CD в Jenkins","Разрабатывать стратегии цифрового маркетинга",0.1
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.4
"Проектировать системы очередей с Redis","Оптимизировать скорость загрузки NoSQL-баз",0.4
"Создавать чат-ботов с использованием Dialogflow для автоматизации взаимодействия с пользователями","Разрабатывать интеллектуальных ботов на базе Dialogflow для клиентских сервисов",0.9
"Работать с политиками конфиденциальности","Создание и внедрение правил для защиты персональных данных",0.7
"Квантовая механика","Работа с базами данных клиентов",0.1
"Осуществлять защиту дизайн-макета","Презентовать прототип заказчику",0.7
"Писать код для калькуляторов на Java","Тестировать кликабельность элементов интерфейса",0.3
"Дифференциальные уравнения","Умение работать с документооборотом",0.1
"Тестировать функциональность веб-приложений","Создавать 3D-модели в Blender",0.1
"Создавать сценарии нагрузки","Моделирование пользовательских действий для проверки системы под нагрузкой",0.7
"Писать документацию для программного модуля","Писать сценарии для театральных постановок",0.1
"Разработка и проектирование программных систем","Опыт разработки backend-приложений на Python",0.7
"Работать с данными в ERP","Анализ отчетов и управление данными внутри системы",0.5
"Понимать принципы инклюзии","Адаптировать интерфейсы для доступности",0.5
"Оптимизировать работу микросервисов.","Разработать документацию для API.",0.2
"Управлять облачными ресурсами","Работа с AWS, Google Cloud, Azure для хостинга и масштабирования",0.6
"Тестировать совместимость веб-приложений с браузерами","Создавать макеты интерфейсов в Adobe XD",0.3
"Писать код для парсинга данных на Scala","Тестировать отказоустойчивость серверов",0.4
"Разрабатывать сложные веб-приложения с использованием React","Тестировать надежность серверов под высокой нагрузкой",0.2
"Оптимизировать процессы разработки с использованием Agile-методологий","Оптимизировать процессы разработки с использованием Agile-методологий",1.0
"Гидравлика","Проектирование трубопроводных систем",0.6
"Формулирует взаимосвязанные задачи для достижения цели","Ставить задачи команде разработчиков",0.6
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.2
"Разрабатывать системы управления версиями с Git","Разрабатывать системы управления версиями с Git",1.0
"Тестировать отказоустойчивость распределенных систем в условиях высокой нагрузки и сбоев","Проверять стабильность работы кластеров при различных сценариях отказов и перегрузок",0.9
"Разрабатывать логическую модель данных","Описание данных без привязки к конкретной СУБД",0.9
"Обладает знаниями управления проектами","Вести проекты по Agile",0.8
"Работать с NLP и компьютерным зрением","Создание решений для обработки текста и изображений",0.7
"Электромагнетизм","Понимание принципов работы радиочастотных систем",0.7
"Настроить надежный сервер для облачного хранилища данных.","Провести кропотливую реставрацию исторического здания с экспертизой.",0.0
"Мониторить облачные ресурсы","Использование инструментов мониторинга облака",0.7
"Строительная механика","Навыки ведения деловой переписки",0.1
"Интегрировать с другими системами","Подключение 1С:ERP к CRM, WMS, внешним сервисам",0.8
"Настроить облачное хранилище в AWS.","Перенести данные в S3-бакет.",0.6
"Оптимизировать производительность кода с профилированием","Оптимизировать производительность кода с профилированием",1.0
"Мониторить производительность серверов","Проектировать интерфейсы в Figma",0.2
"Интегрировать ERP-системы с WMS","Разрабатывать дизайн в Adobe XD",0.2
"Оптимизировать запросы к базе данных ClickHouse.","Ускорить агрегацию данных в Redshift.",0.3
"Физика полупроводников","Понимание принципов работы транзисторов",0.9
"Планировать и реализовывать профессиональное развитие","Изучать новые дизайн-тренды",0.5
"Реагировать на инциденты","Устранение последствий утечек данных и восстановление системы",0.4
"Деплоить проекты","Развертывание приложений на облачных платформах AWS, Heroku, DigitalOcean",0.6
"Теоретическая механика","Создание контента для социальных сетей",0.0
"Обеспечивать кибербезопасность","Разработка и внедрение комплексных стратегий защиты информационных систем",1.0
"Интегрировать аналитику с Mixpanel","Разрабатывать компоненты в React Native",0.4
"Планировать выполнение работ по макету","Ставить сроки для дизайна",0.5
"Разрабатывать модели машинного обучения с библиотекой scikit-learn","Разрабатывать модели машинного обучения с библиотекой scikit-learn",1.0
"Настроить виртуализацию серверов.","Создать анимацию для рекламного ролика IT-компании.",0.0
"Настраивать системы уведомлений с Twilio","Писать технические спецификации для команд",0.4
"Оптимизировать загрузку данных в R.","Ускорить обработку запросов в PostgreSQL.",0.2
