"Требуется инженер-программист со знанием Python.","Ищем разработчика с опытом работы в Python.",0.9
"Необходим специалист по машинному обучению.","Требуется эксперт в области анализа данных.",0.8
"Вакансия: преподаватель информатики.","Ищем учителя программирования для школы.",0.7
"Требуется опытный Java-разработчик.","Ищем junior-программиста на Java.",0.5
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.3
"Программа обучения включает изучение алгоритмов.","Курс рассчитан на студентов, интересующихся искусственным интеллектом.",0.6
"Кандидат должен иметь высшее техническое образование.","Принимаем на работу студентам последних курсов.",0.4
"Обязательно знание SQL.","Опыт работы с базами данных приветствуется.",0.8
"Требуется разработчик мобильных приложений.","Ищем дизайнера пользовательских интерфейсов.",0.2
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.3
