sentence,label
"У нас дружный коллектив и комфортная атмосфера",1
"картографическими библиотеками",0
"Сотрудник должен быть ориентирован на результат",0
"группа компаний, специализирующихся на",1
"Наша миссия — создавать технологии, которые меняют мир к лучшему",1
"Опыт работы с базами данных (MySQL, PostgreSQL) обязателен",0
"В нашей компании действует система дополнительных бонусов за достижения",1
"Мы разрабатываем масштабируемые backend-решения для бизнеса",1
"среднее образование",0
"Требуется опыт работы с системами мониторинга, такими как Prometheus или Grafana",0
"опыт ведения проектов",0
"Знание английского языка не ниже уровня Upper-Intermediate",0
"график работы 5/2 с 7:00 до 15:30;",1
"организовывать тестирование, выявлять ошибки",0
"Высшее образование по направлению подготовки",0
"обеспечение прима",0
"Кандидат должен обладать отличными коммуникативными навыками",0
"Наша команда разработала программное обеспечение, которое используется крупнейшими банками России",1
"Кандидат должен уметь эффективно управлять временем и приоритетами",0
"Кандидат должен обладать глубокими знаниями языков программирования Python и Java",0
"Обеспечение кроссбраузерной совместимости верстки",0
"Мы сотрудничаем с ведущими университетами для внедрения передовых научных разработок",1
"Работа по графику сменности.",1
"Компания предлагает регулярное обучение новым технологиям",1
"тестовые инструменты",0
"самостоятельность, ответственость",0
"Контроль выполнения проектов и соблюдение сроков",0
"Кандидат должен уметь писать SQL-запросы любой сложности",0
"Компания— поставщик решений",1
"Команда профессионалов ждет тебя",1
"Готовность к активной работе с покупателями",0
"Компания представлена в",1
"Знание ПО",0
"доброжелательность, общительность, инициативность",0
"Важна нацеленность на результат и стремление к достижению целей",0
"лидер рынка в области",1
"Разработка и сопровождение",0
"Умение оптимизировать код для высокой производительности",0
"В офисе есть зона отдыха с бесплатным кофе и чаем",1
"Опыт в RESTful API и GraphQL будет преимуществом",0
"Разработка концепций маркетинговых кампаний",0
"Оформление в соответствии с ТК РФ, белая ЗП;",1
"Наша миссия — сделать технологии доступными для каждого человека на планете",1
"Необходим навык работы с большим объемом информации",0
"подраки на день рождение",1
"Компания была основана группой российских инженеров, ставших пионерами в своей отрасли",1
"разработка новых продкутов",0
"Координация команды и поддержка процессов",0
"заполнение кассовой документации",0
"сбор данных",0
"Центр строительных программ",1
"анализ рынка",0
"Высшее профессиональное образование в области",0
"Важна способность решать сложные технические задачи в условиях ограниченного времени",0
"Требуется умение работать с возражениями и решать конфликтные ситуации",0
"Стать частью стабильной компании, уверенно существующей уже",1
"Требуется дисциплинированность и соблюдение установленных сроков",0
"формирование документов",0
"профессиональный рост в компании",1
"Мы предлагаем программу профессионального развития и обучения",1
"Организационно-методическое сопровождение оснащения",0
"гарантия стабильности и долгосрочной занятости",1
"федеральная компания",1
"Мы предлагаем премии по итогам каждого квартала",1
"Контроль соблюдения",0
"оплачиваемый больничный",1
"ассистирование",0
"Необходимо знание принципов объектно-ориентированного программирования",0
"Опыт работы в",0
"наша цель",0
"Современный офис с комфортными условиями труда в деловом центре города",1
"Внедрение и настройка",0
"Необходимы знания основ машинного обучения и библиотек типа TensorFlow или PyTorch",0
"является монополистом в",1
"корпоративный автобус по маршруту",1
"Важна способность работать с большими объемами данных и аналитикой",0
"Проведение консультаций и составление плана лечения",0
"опыт разработки",0
"Необходим навык работы с большими данными и аналитикой",0
"Мы гордимся тем, что наша команда состоит из профессионалов мирового уровня",1
"Ведение бухгалтерского и налогового учета",0
"Работа в дружном коллективе профессионалов медицины",1
"Будет плюсом: Использование в проектах",0
"Мы специализируемся на развитии экологичных технологий для российской промышленности",1
"Сотрудникам доступна корпоративная мобильная связь",1
"В работе потребуется внимательность к деталям",0
"Необходимы навыки оптимизации производительности приложений",0
"Программу лояльности для сотрудников:",1
"график работы обсуждается индивидуально",1
"программное обеспечение",0
"Обеспечение технической поддержки",0
"участие в",0
"Требуется знание принципов объектно-ориентированного программирования",0
"Желательно наличие опыта работы не менее 3 лет",0
"Управление товарными запасами на складе",0
"Анализ результатов анализов и диагностических исследований",0
"умение работать в команде",0
"дипломированный специалист",0
"знание на уровне",0
"Задачи включают оптимизацию производительности серверов",0
"Необходимо умение эффективно работать в команде",0
"Наша компания известна своим инновационным подходом к решению сложных задач",1
"Наша компания предоставляет полную медицинскую страховку для сотрудников",1
"инженер",0
"Оценка состояния ",0
"Требуется опыт работы в сфере здравоохранения",0
"Гарантируется официальное трудоустройство согласно ТК РФ",1
"График работы с 08.00 до 20.00 по графику 2х2",1
"Компания имеет представительства в 15 городах России, что делает нас лидерами в своем сегменте",1
"Компания инвестирует в professional growth сотрудников",1
"График :5/2,с 8:00 до 16:00/10:00-18:00",1
"Проведение диагностических процедур и консультаций",0
"(пакет MS Office, Google Docs)",0
"Достойная зарплата",1
"Сегодня это одна из крупнейших медицинских компаний России",1
"ассистировать",0
"знание программного обеспечения",0
"Знание УСН",0
"Премии за участие в",1
"Компания - это сеть федерального значения",1
"карьерный рост",1
"Необходимо уметь работать с CRM-системой",0
"Мы гордимся тем, что наши продукты используются ведущими банками страны",1
"Знание принципов microservices architecture приветствуется",0
"Возможность профессионального роста и обучения у лучших экспертов отрасли",1
"Официальное трудоустройство по ТК РФ",1
"Обеспечение безопасности и защиты данных на сервере",0
"Компания имеет филиалы в 12 странах мира, что делает нас по-настоящему глобальной командой",1
"Сменный график работы;",1
"опыт на данной должности",0
"Необходимо знание стандартов оказания медицинской помощи",0
"веденеие документации",0
"Подготовка документации для руководства",0
"Продвинутый пользователь ПК",0
"Предоставляется корпоративный фитнес-клуб",1
"умение взаимодействия с клиентами",0
"Работа в friendly коллективе единомышленников",1
"Кандидат должен обладать аналитическим мышлением и вниманием к деталям",0
"Работа в современном высокотехнологичном офисе",1
"Мы специализируемся на создании экологичных технологий будущего",1
"Компания существует с года.",1
"многопрофильная клиника",1
"Работа в современном офисе с видом на парк",1
"Индивидуальный график работы (5/2 или 2/2)",1
"Задачи, которые Вам предстоит решать:",0
"Опыт работы в отделении приветствуется",0
"выстративать коммуникацию",0
"Работа в дружном, сплоченном коллективе",1
"У нас дружный коллектив и комфортная атмосфера",1
"Необходимы навыки оптимизации алгоритмов и повышения их производительности",0
"Достойную заработную плату",1
"твоими задачами будут",0
"Будет плюсом если Вы обладаете: опытом работы с ",0
"динамично развивающаяся группа компаний",1
"Заработную плату обсуждаем с успешным кандидатом при личной встрече",1
"За последние 5 лет мы успешно реализовали более 100 проектов для компаний из ТОП-500 российского бизнеса",1
"Мы - группа компаний",1
"График 2/2 с 08.00-20.00(первое время возможен график пятидневка по 8 часов)",1
"Важна внимательность к деталям и высокая степень ответственности",0
"Работа в крупной компании",1
"Зоны отдыха;",1
"Оклад + премия",1
"Работа с API для интеграции данных на сайте",0
"Необходима способность работать в команде и взаимодействовать с коллегами",0
"Приятную атмосферу: дружный коллектив, который поддержит и поможет освоиться.",1
"С нами интересно и уютно",1
"Предоставляем современное рабочее место с эргономичной мебелью",1
"Мы предлагаем удаленную работу",1
"Осуществление контроля за выполнением проектов",0
"Компания имеет более 10 лет успешной работы на рынке",1
"График работы:",1
"бакалавриат, специалитет",0
"полный соцпакет",1
"За последние 5 лет мы успешно реализовали более 100 проектов для крупных компаний",1
