sentence1,sentence2,label
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.3
"Требуется инженер-программист со знанием Python.","Ищем разработчика с опытом работы в Python.",0.8
"Необходим специалист по машинному обучению.","Требуется эксперт в области анализа данных.",0.6
"Вакансия: преподаватель информатики.","Ищем учителя программирования для школы.",0.7
"Требуется опытный Java-разработчик.","Ищем junior-программиста на Java.",0.5
"Необходим специалист по кибербезопасности.","Требуется администратор баз данных.",0.3
"Программа обучения включает изучение алгоритмов.","Курс рассчитан на студентов, интересующихся искусственным интеллектом.",0.6
"Кандидат должен иметь высшее техническое образование.","Принимаем на работу студентам последних курсов.",0.5
"Обязательно знание SQL.","Опыт работы с базами данных приветствуется.",0.8
"Требуется разработчик мобильных приложений.","Ищем дизайнера пользовательских интерфейсов.",0.2
"Курс предназначен для начинающих программистов.","Программа ориентирована на продвинутых специалистов.",0.3s
"Использовать информационно-коммуникационные технологии в профессиональной деятельности","Настраивать и поддерживать работу CRM-систем для учета пациентов",0.8
"Соблюдать правила использования аппаратуры, оборудования и изделий медицинского назначения в ходе лечебно-диагностического процесса","Проводить тестирование и контроль качества программного обеспечения",0.1
"Способен осуществлять социальное взаимодействие и реализовывать свою роль в команде","Участвовать в планировании и реализации IT-проектов в составе команды разработчиков",0.8
"Способен разрабатывать алгоритмы и программы, пригодные для практического применения","Требуется разработка ПО для анализа данных",0.8
"Оказывать доврачебную помощь при неотложных состояниях","Обеспечивать техподдержку оборудования",0.0
"Использовать ИКТ в профессиональной деятельности","Настраивать CRM-системы",0.3
"Соблюдать правила использования медоборудования","Тестировать ПО",0.0
"Взаимодействовать с командой","Участвовать в IT-проектах в команде",0.9
"Проводить санитарно-гигиеническое воспитание","Разрабатывать мобильные приложения",0.0
"Осуществлять лечебно-диагностические вмешательства","Администрировать серверы",0.0
"Применять медикаментозные средства","Оптимизировать базы данных",0.0
"Вести медицинскую документацию","Готовить техническую документацию",0.4
"Оказывать паллиативную помощь","Проводить тестирование интерфейсов",0.0
"Эффективно общаться с пациентом","Взаимодействовать с заказчиками проектов",0.4
"Соблюдать профессиональную этику","Следовать корпоративным стандартам",0.5
"Осуществлять уход за пациентами","Обслуживать серверное оборудование",0.0
"Консультировать по уходу и самоуходу","Консультировать по использованию ПО",0.5
"Оформлять медицинскую документацию","Автоматизировать документооборот",0.4
"Соблюдать санитарный режим","Обеспечивать кибербезопасность",0.1
"Понимать значимость профессии","Анализировать рынок IT-услуг",0.0
"Принимать решения в нестандартных ситуациях","Решать инциденты в IT-системах",0.7
"Использовать ИКТ","Разрабатывать веб-приложения",0.6
"Работать в команде","Координировать разработчиков",0.7
"Заниматься самообразованием","Изучать новые технологии",0.9
"Ориентироваться в смене технологий","Поддерживать legacy-системы",0.1
"Бережно относиться к традициям","Разрабатывать AI-решения",0.0
"Организовывать рабочее место","Настраивать CI/CD процессы",0.0
"Вести здоровый образ жизни","Оптимизировать рабочие процессы",0.0
"Анализировать и синтезировать информацию","Проводить анализ требований",0.6
"Определять задачи в рамках цели","Ставить задачи команде разработчиков",0.7
"Осуществлять коммуникацию на русском","Вести переписку с клиентами",0.8
"Учитывать мультикультурность","Адаптировать ПО под рынки",0.5
"Управлять своим временем","Планировать спринты в проектах",0.7
"Способен разрабатывать алгоритмы и программы","Писать код для backend-систем",0.5
"Использовать ИКТ в профессиональной деятельности","Настраивать облачные сервисы",0.4
"Осуществлять поиск и анализ информации","Изучать технические требования",0.8
"Принимать решения в нестандартных ситуациях","Устранять сбои в IT-системах",0.7
"Работать в команде","Координировать разработку ПО",0.6
"Способен инсталлировать ПО и оборудование","Устанавливать серверное ПО",0.9
"Анализировать организационно-технические процессы","Оптимизировать DevOps-процессы",0.4
"Разрабатывать техническую документацию","Писать спецификации для API",0.7
"Осуществлять программирование и тестирование","Проводить юнит-тесты",0.9
"Управлять проектами создания ИС","Вести проекты по Scrum",0.8
"Понимать принципы работы IT-технологий","Настраивать микросервисы",0.2
"Заниматься самообразованием","Изучать новые фреймворки",0.9
"Ориентироваться в смене технологий","Мигрировать системы на новые платформы",0.3
"Применять методы математического анализа","Моделировать данные в Python",0.6
